username,firstname,lastname,email,city,idnumber,password
oscar,Oscar,Lozada,oscar@gmail.com,Madrid,1001,Moodle2026!
leonardo,Leonardo,Barreto,leonardo.barreto@awakelab.world,Santiago,1002,Moodle2026!
fran,Fran,Gutiérrez,franp@gmail.com,Sevilla,1003,Moodle2026!
barry,Barry,Brown,barrybrown.t@gmail.com,Londres,1004,Moodle2026!
maria,Maria,García,m.garcia@gmail.com,Madrid,1005,Moodle2026!
juan,Juan,Pérez,jperez@outlook.com,Barcelona,1006,Moodle2026!
ana,Ana,Martinez,ana.mtz@gmail.com,Valencia,1007,Moodle2026!
luis,Luis,Rodríguez,l.rodriguez@hotmail.com,Bilbao,1008,Moodle2026!
carla,Carla,Soto,csoto@gmail.com,Granada,1009,Moodle2026!
pedro,Pedro,Castillo,p.castillo@yahoo.com,Málaga,1010,Moodle2026!
elena,Elena,Vargas,e.vargas@gmail.com,Alicante,1011,Moodle2026!
roberto,Roberto,Diaz,rdiaz@gmail.com,Vigo,1012,Moodle2026!
sofia,Sofia,Lopez,slopez@gmail.com,Murcia,1013,Moodle2026!
diego,Diego,Rios,drios@gmail.com,Gijón,1014,Moodle2026!
lucia,Lucia,Mendez,lmendez@gmail.com,Zaragoza,1015,Moodle2026!
miguel,Miguel,Torres,mtorres@gmail.com,Valladolid,1016,Moodle2026!
isabel,Isabel,Castro,icastro@gmail.com,Tenerife,1017,Moodle2026!
andres,Andres,Navarro,anavarro@gmail.com,Palma,1018,Moodle2026!
julia,Julia,Ruiz,jruiz@gmail.com,Badajoz,1019,Moodle2026!
tomas,Tomas,Blanco,tblanco@gmail.com,Toledo,1020,Moodle2026!
